OrderNumber,OrderDate,CUSTOMER_INDEX,Channel,Warehouse Code,Delivery Region Index,PRODUCT_INDEX,ORDER_QTY,UNIT_PRICE_USD,TOTAL_REVENUE_USD
SO - 000258,31-01-2013,28,Wholesale,AXW291,6,7,11,2385.2,26237.2
SO - 000259,01-02-2013,22,Wholesale,AXW291,3,9,11,2231.1,24542.1
SO - 000260,01-02-2013,26,Wholesale,AXW291,22,1,7,1005,7035
SO - 000261,01-02-2013,12,Distributor,NXH382,53,6,12,2693.4,32320.8
SO - 000262,01-02-2013,31,Wholesale,AXW291,20,7,8,1105.5,8844
SO - 000263,02-02-2013,25,Distributor,AXW291,16,12,9,1909.5,17185.5
SO - 000264,02-02-2013,35,Distributor,GUT930,32,3,8,1118.9,8951.2
SO - 000265,03-02-2013,45,Wholesale,AXW291,17,2,10,1038.5,10385
SO - 000266,03-02-2013,19,Distributor,AXW291,23,5,6,6324.8,37948.8
SO - 000267,03-02-2013,16,Wholesale,AXW291,3,13,6,1005,6030
SO - 000268,03-02-2013,15,Distributor,GUT930,32,2,10,1293.1,12931
SO - 000269,03-02-2013,8,Wholesale,AXW291,14,7,5,844.2,4221
SO - 000270,04-02-2013,27,Wholesale,NXH382,58,6,8,247.9,1983.2
SO - 000271,04-02-2013,12,Wholesale,GUT930,39,1,12,174.2,2090.4
SO - 000272,04-02-2013,30,Wholesale,NXH382,50,12,9,1025.1,9225.9
SO - 000273,04-02-2013,19,Export,FLR025,62,1,9,3068.6,27617.4
SO - 000274,05-02-2013,44,Distributor,AXW291,22,7,7,241.2,1688.4
SO - 000275,05-02-2013,24,Distributor,GUT930,36,7,10,174.2,1742
SO - 000276,05-02-2013,10,Export,AXW291,6,13,7,2505.8,17540.6
SO - 000277,05-02-2013,35,Wholesale,GUT930,42,11,11,2599.6,28595.6
SO - 000278,05-02-2013,38,Export,AXW291,28,2,12,2278,27336
SO - 000279,06-02-2013,31,Wholesale,FLR025,64,13,12,1092.1,13105.2
SO - 000280,06-02-2013,40,Wholesale,AXW291,8,7,9,1139,10251
SO - 000281,06-02-2013,9,Export,FLR025,61,7,11,1675,18425
SO - 000282,06-02-2013,41,Export,GUT930,41,11,7,1011.7,7081.9
SO - 000283,07-02-2013,11,Wholesale,AXW291,23,6,12,938,11256
SO - 000284,08-02-2013,48,Distributor,AXW291,10,5,10,2566.1,25661
SO - 000285,08-02-2013,4,Wholesale,GUT930,32,2,12,871,10452
SO - 000286,09-02-2013,4,Wholesale,AXW291,15,1,9,2485.7,22371.3
SO - 000287,09-02-2013,40,Distributor,FLR025,66,6,9,2345,21105
SO - 000288,09-02-2013,19,Distributor,AXW291,9,9,12,1118.9,13426.8
SO - 000289,10-02-2013,24,Wholesale,AXW291,2,2,7,1996.6,13976.2
SO - 000290,10-02-2013,6,Distributor,AXW291,23,2,6,710.2,4261.2
SO - 000291,10-02-2013,6,Export,GUT930,37,10,6,3979.8,23878.8
SO - 000292,10-02-2013,9,Distributor,FLR025,61,11,6,1025.1,6150.6
SO - 000293,10-02-2013,3,Distributor,GUT930,36,7,8,2519.2,20153.6
SO - 000294,10-02-2013,36,Wholesale,AXW291,27,11,8,5031.7,40253.6
SO - 000295,10-02-2013,27,Wholesale,NXH382,56,6,10,1829.1,18291
SO - 000296,11-02-2013,29,Wholesale,NXH382,55,11,11,1072,11792
SO - 000297,11-02-2013,11,Wholesale,GUT930,45,1,10,2539.3,25393
SO - 000298,11-02-2013,24,Distributor,NXH382,48,13,8,3899.4,31195.2
SO - 000299,11-02-2013,38,Wholesale,FLR025,66,5,7,5045.1,35315.7
SO - 000300,11-02-2013,38,Wholesale,AXW291,23,11,11,1005,11055
SO - 000301,11-02-2013,20,Wholesale,GUT930,33,2,11,2438.8,26826.8
SO - 000302,12-02-2013,46,Distributor,AXW291,28,7,6,3336.6,20019.6
SO - 000303,12-02-2013,38,Wholesale,GUT930,46,5,6,1098.8,6592.8
SO - 000304,12-02-2013,5,Wholesale,AXW291,12,2,11,1902.8,20930.8
SO - 000305,12-02-2013,32,Wholesale,AXW291,28,1,11,3477.3,38250.3
SO - 000306,12-02-2013,36,Distributor,GUT930,36,7,10,2599.6,25996
SO - 000307,12-02-2013,1,Wholesale,NXH382,54,10,12,1078.7,12944.4
SO - 000308,12-02-2013,22,Distributor,GUT930,36,2,11,1045.2,11497.2
SO - 000309,12-02-2013,21,Export,AXW291,29,7,11,1125.6,12381.6
SO - 000310,12-02-2013,14,Export,GUT930,34,7,12,1105.5,13266
SO - 000311,12-02-2013,50,Export,AXW291,16,9,10,2606.3,26063
SO - 000312,13-02-2013,41,Wholesale,GUT930,41,5,7,227.8,1594.6
SO - 000313,13-02-2013,35,Wholesale,GUT930,33,11,8,167.5,1340
SO - 000314,13-02-2013,21,Wholesale,GUT930,45,1,6,1145.7,6874.2
SO - 000315,13-02-2013,37,Wholesale,NXH382,59,7,7,2599.6,18197.2
SO - 000316,13-02-2013,14,Wholesale,AXW291,25,7,5,3939.6,19698
SO - 000317,13-02-2013,18,Distributor,AXW291,20,7,6,2881,17286
SO - 000318,13-02-2013,22,Distributor,AXW291,20,5,8,3852.5,30820
SO - 000319,13-02-2013,48,Export,AXW291,10,13,7,1139,7973
SO - 000320,14-02-2013,7,Distributor,GUT930,35,13,8,2519.2,20153.6
SO - 000321,14-02-2013,33,Distributor,AXW291,15,2,12,1192.6,14311.2
SO - 000322,14-02-2013,18,Wholesale,GUT930,39,5,11,2412,26532
SO - 000323,14-02-2013,6,Wholesale,AXW291,24,7,9,2479,22311
SO - 000324,14-02-2013,10,Wholesale,NXH382,58,1,10,1956.4,19564
SO - 000325,15-02-2013,4,Wholesale,GUT930,32,11,9,1078.7,9708.3
SO - 000326,15-02-2013,22,Wholesale,AXW291,13,2,11,1212.7,13339.7
SO - 000327,15-02-2013,48,Distributor,GUT930,46,1,7,978.2,6847.4
SO - 000328,15-02-2013,28,Distributor,NXH382,50,5,10,174.2,1742
SO - 000329,16-02-2013,25,Wholesale,GUT930,41,7,5,1125.6,5628
SO - 000330,16-02-2013,49,Distributor,NXH382,52,1,8,1065.3,8522.4
SO - 000331,16-02-2013,11,Distributor,AXW291,11,7,8,3892.7,31141.6
SO - 000332,16-02-2013,19,Wholesale,NXH382,54,5,5,207.7,1038.5
SO - 000333,16-02-2013,20,Wholesale,AXW291,14,2,8,1185.9,9487.2
SO - 000334,16-02-2013,15,Export,FLR025,64,13,11,2586.2,28448.2
SO - 000335,17-02-2013,26,Wholesale,AXW291,5,1,10,2579.5,25795
SO - 000336,17-02-2013,7,Distributor,AXW291,5,7,8,6378.4,51027.2
SO - 000337,17-02-2013,26,Wholesale,NXH382,53,13,6,3008.3,18049.8
SO - 000338,17-02-2013,49,Wholesale,AXW291,26,5,8,1755.4,14043.2
SO - 000339,17-02-2013,28,Wholesale,AXW291,31,7,8,1139,9112
SO - 000340,17-02-2013,46,Distributor,AXW291,8,5,7,6157.3,43101.1
SO - 000341,17-02-2013,33,Export,AXW291,8,14,12,2231.1,26773.2
SO - 000342,17-02-2013,23,Wholesale,AXW291,12,1,9,2479,22311
SO - 000343,17-02-2013,35,Wholesale,AXW291,4,1,11,6391.8,70309.8
SO - 000344,17-02-2013,4,Export,NXH382,48,14,8,1139,9112
SO - 000345,18-02-2013,38,Wholesale,GUT930,36,7,8,2586.2,20689.6
SO - 000346,18-02-2013,36,Wholesale,GUT930,38,11,5,3899.4,19497
SO - 000347,19-02-2013,25,Distributor,AXW291,15,1,9,951.4,8562.6
SO - 000348,19-02-2013,8,Distributor,GUT930,31,14,9,5607.9,50471.1
SO - 000349,19-02-2013,12,Export,NXH382,50,13,8,1165.8,9326.4
SO - 000350,19-02-2013,17,Distributor,NXH382,50,1,12,1949.7,23396.4
SO - 000351,19-02-2013,40,Distributor,AXW291,27,6,9,3685,33165
SO - 000352,20-02-2013,3,Wholesale,FLR025,60,13,8,2633.1,21064.8
SO - 000353,20-02-2013,26,Wholesale,NXH382,50,7,6,1072,6432
SO - 000354,20-02-2013,38,Distributor,AXW291,6,11,10,3537.6,35376
SO - 000355,20-02-2013,41,Distributor,GUT930,42,5,11,1092.1,12013.1
SO - 000356,21-02-2013,17,Wholesale,NXH382,48,2,9,1748.7,15738.3
SO - 000357,22-02-2013,49,Wholesale,AXW291,2,2,8,891.1,7128.8
SO - 000358,22-02-2013,41,Wholesale,AXW291,29,2,5,3082,15410
SO - 000359,22-02-2013,34,Wholesale,AXW291,27,5,5,1125.6,5628
SO - 000360,22-02-2013,46,Wholesale,AXW291,19,13,9,1252.9,11276.1
SO - 000361,22-02-2013,44,Distributor,FLR025,66,1,11,837.5,9212.5
SO - 000362,22-02-2013,21,Wholesale,NXH382,53,13,10,1031.8,10318
SO - 000363,22-02-2013,7,Wholesale,GUT930,46,1,10,2385.2,23852
SO - 000364,23-02-2013,48,Distributor,AXW291,28,7,8,1802.3,14418.4
SO - 000365,23-02-2013,40,Distributor,NXH382,49,2,5,1018.4,5092
SO - 000366,23-02-2013,35,Wholesale,AXW291,19,14,10,3946.3,39463
SO - 000367,23-02-2013,21,Distributor,AXW291,24,7,6,3953,23718
SO - 000368,24-02-2013,1,Wholesale,AXW291,29,7,10,5098.7,50987
SO - 000369,24-02-2013,9,Export,FLR025,63,2,11,3758.7,41345.7
SO - 000370,24-02-2013,9,Distributor,AXW291,9,2,5,911.2,4556
SO - 000371,25-02-2013,26,Wholesale,GUT930,43,2,8,904.5,7236
SO - 000372,25-02-2013,21,Wholesale,AXW291,23,6,10,911.2,9112
SO - 000373,25-02-2013,6,Wholesale,AXW291,7,7,10,227.8,2278
SO - 000374,25-02-2013,14,Distributor,AXW291,13,5,5,254.6,1273
SO - 000375,25-02-2013,33,Wholesale,AXW291,6,2,11,683.4,7517.4
SO - 000376,25-02-2013,43,Wholesale,AXW291,29,2,7,3919.5,27436.5
SO - 000377,25-02-2013,25,Distributor,FLR025,64,2,10,1092.1,10921
SO - 000378,25-02-2013,10,Wholesale,GUT930,36,11,11,924.6,10170.6
SO - 000379,25-02-2013,45,Distributor,GUT930,33,7,5,1018.4,5092
SO - 000380,26-02-2013,19,Distributor,FLR025,65,1,5,1788.9,8944.5
SO - 000381,26-02-2013,17,Distributor,AXW291,15,7,11,944.7,10391.7
SO - 000382,26-02-2013,39,Distributor,AXW291,26,6,6,3959.7,23758.2
SO - 000383,27-02-2013,11,Distributor,AXW291,27,9,12,167.5,2010
SO - 000384,27-02-2013,23,Export,AXW291,19,2,8,3872.6,30980.8
SO - 000385,27-02-2013,12,Distributor,GUT930,34,4,5,6539.2,32696
SO - 000386,28-02-2013,44,Wholesale,AXW291,10,1,6,1025.1,6150.6
SO - 000387,28-02-2013,31,Wholesale,GUT930,35,11,5,938,4690
SO - 000388,28-02-2013,19,Distributor,FLR025,64,9,11,1045.2,11497.2
SO - 000389,28-02-2013,20,Export,GUT930,37,11,9,167.5,1507.5
SO - 000390,28-02-2013,44,Distributor,FLR025,61,13,5,1721.9,8609.5
SO - 000391,28-02-2013,30,Wholesale,GUT930,44,1,8,676.7,5413.6
SO - 000392,28-02-2013,47,Wholesale,AXW291,30,1,12,167.5,2010
SO - 000393,28-02-2013,26,Distributor,GUT930,46,13,10,1118.9,11189
SO - 000394,28-02-2013,17,Distributor,AXW291,5,13,6,1139,6834
SO - 000395,28-02-2013,44,Wholesale,NXH382,50,4,5,1748.7,8743.5
SO - 000396,01-03-2013,13,Distributor,NXH382,47,2,11,1728.6,19014.6
SO - 000397,01-03-2013,13,Distributor,GUT930,33,13,5,1112.2,5561
SO - 000398,01-03-2013,9,Distributor,AXW291,11,2,11,2385.2,26237.2
SO - 000399,02-03-2013,18,Export,AXW291,15,2,12,221.1,2653.2
SO - 000400,02-03-2013,1,Wholesale,AXW291,22,9,6,5708.4,34250.4
SO - 000401,02-03-2013,38,Wholesale,NXH382,52,2,7,1038.5,7269.5
SO - 000402,02-03-2013,43,Distributor,AXW291,4,1,7,3993.2,27952.4
SO - 000403,02-03-2013,14,Distributor,GUT930,35,5,12,1085.4,13024.8
SO - 000404,03-03-2013,36,Wholesale,NXH382,50,2,11,3886,42746
SO - 000405,03-03-2013,21,Wholesale,NXH382,53,8,6,3986.5,23919
SO - 000406,03-03-2013,41,Wholesale,AXW291,22,11,8,1206,9648
SO - 000407,03-03-2013,38,Export,FLR025,65,5,6,1842.5,11055
SO - 000408,03-03-2013,22,Distributor,NXH382,54,5,6,5051.8,30310.8
SO - 000409,03-03-2013,4,Distributor,GUT930,45,7,11,1165.8,12823.8
SO - 000410,03-03-2013,21,Wholesale,FLR025,60,3,11,3966.4,43630.4
SO - 000411,03-03-2013,17,Wholesale,NXH382,58,13,9,1802.3,16220.7
SO - 000412,04-03-2013,36,Wholesale,AXW291,28,11,8,1105.5,8844
SO - 000413,04-03-2013,16,Wholesale,AXW291,9,5,9,1889.4,17004.6
SO - 000414,05-03-2013,40,Wholesale,FLR025,63,10,6,1018.4,6110.4
SO - 000415,05-03-2013,8,Wholesale,NXH382,53,12,12,3865.9,46390.8
SO - 000416,05-03-2013,30,Wholesale,GUT930,46,4,10,998.3,9983
SO - 000417,05-03-2013,48,Distributor,AXW291,27,11,6,254.6,1527.6
SO - 000418,05-03-2013,13,Wholesale,AXW291,2,13,7,703.5,4924.5
SO - 000419,05-03-2013,47,Wholesale,AXW291,12,2,7,1092.1,7644.7
SO - 000420,06-03-2013,6,Export,AXW291,11,1,8,1038.5,8308
SO - 000421,06-03-2013,50,Distributor,GUT930,34,3,12,2398.6,28783.2
SO - 000422,06-03-2013,32,Export,AXW291,27,7,6,897.8,5386.8
SO - 000423,06-03-2013,30,Wholesale,AXW291,8,11,12,5212.6,62551.2
SO - 000424,06-03-2013,46,Export,AXW291,19,7,5,254.6,1273
SO - 000425,06-03-2013,29,Distributor,GUT930,43,6,7,3926.2,27483.4
SO - 000426,06-03-2013,13,Wholesale,NXH382,57,2,7,1165.8,8160.6
SO - 000427,06-03-2013,44,Export,GUT930,33,1,8,3859.2,30873.6
SO - 000428,06-03-2013,4,Export,AXW291,13,9,5,167.5,837.5
SO - 000429,07-03-2013,22,Distributor,NXH382,60,1,9,1681.7,15135.3
SO - 000430,07-03-2013,38,Export,AXW291,25,2,7,924.6,6472.2
SO - 000431,07-03-2013,13,Wholesale,AXW291,22,12,9,3966.4,35697.6
SO - 000432,07-03-2013,19,Distributor,NXH382,51,11,6,938,5628
SO - 000433,07-03-2013,20,Distributor,AXW291,15,9,8,1983.2,15865.6
SO - 000434,07-03-2013,27,Wholesale,AXW291,30,1,10,2586.2,25862
SO - 000435,07-03-2013,14,Export,AXW291,16,13,12,3061.9,36742.8
SO - 000436,07-03-2013,30,Export,NXH382,58,7,11,1051.9,11570.9
SO - 000437,07-03-2013,11,Export,GUT930,41,7,9,261.3,2351.7
