Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Total Profit
Foot Locker,1185732,05-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,165000
Foot Locker,1185732,06-03-2020,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.4,Outlet,185000
Foot Locker,1185732,07-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.4,Outlet,180000
Foot Locker,1185732,08-03-2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,162000
Foot Locker,1185732,09-03-2020,Northeast,New York,New York,Women's Apparel,65,1050,682500,170625,0.3,Outlet,204750
Foot Locker,1185732,10-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1275,765000,382500,0.5,Outlet,382500
Foot Locker,1185732,11-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,169125
Foot Locker,1185732,12-03-2020,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.4,Outlet,190000
Foot Locker,1185732,13-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.4,Outlet,180000
Foot Locker,1185732,14-03-2020,Northeast,New York,New York,Men's Apparel,60,925,555000,166500,0.3,Outlet,166500
Foot Locker,1185732,15-03-2020,Northeast,New York,New York,Women's Apparel,65,1100,715000,178750,0.3,Outlet,214500
Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,375000
Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,169125
Foot Locker,1185732,18-03-2020,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.4,Outlet,190000
Foot Locker,1185732,31-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875,0.4,Outlet,185000
Walmart,1185732,17-04-2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,162000
Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,65,1075,698750,174688,0.3,Outlet,209625
Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,360000,0.5,Outlet,360000
Walmart,1185732,20-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,165000
Walmart,1185732,21-04-2020,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.4,Outlet,185000
Walmart,1185732,22-04-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.4,Outlet,180000
Walmart,1185732,23-04-2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,162000
Walmart,1185732,24-04-2020,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.3,Outlet,195000
Walmart,1185732,25-04-2020,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet,170625
Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.3,Outlet,210000
Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,65,1150,747500,373750,0.5,Outlet,373750
Walmart,1185732,28-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,536250,160875,0.3,Outlet,160875
Walmart,1185732,29-04-2020,Northeast,New York,New York,Women's Street Footwear,55,920,506000,177100,0.4,Outlet,202400
Walmart,1185732,30-04-2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,0.4,Outlet,198000
Walmart,1185732,01-05-2020,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet,170625
Walmart,1185732,02-05-2020,Northeast,New York,New York,Women's Apparel,70,975,682500,170625,0.3,Outlet,204750
Walmart,1185732,03-05-2020,Northeast,New York,New York,Men's Street Footwear,65,1200,780000,390000,0.5,Outlet,390000
Walmart,1185732,04-05-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,165000
Walmart,1185732,05-05-2020,Northeast,New York,New York,Women's Street Footwear,55,950,522500,182875,0.4,Outlet,209000
Walmart,1185732,06-05-2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,0.4,Outlet,198000
Walmart,1185732,07-05-2020,Northeast,New York,New York,Men's Apparel,65,900,585000,175500,0.3,Outlet,175500
Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.3,Outlet,210000
Sports Direct,1197831,19-07-2020,Northeast,New York,New York,Men's Street Footwear,25,900,225000,78750,0.4,Outlet,90000
Sports Direct,1197831,20-07-2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,315000,110250,0.4,Outlet,126000
Sports Direct,1197831,21-07-2020,Northeast,New York,New York,Women's Street Footwear,35,700,245000,85750,0.4,Outlet,98000
Sports Direct,1197831,22-07-2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250,0.5,Outlet,122500
Sports Direct,1197831,23-07-2020,South,Texas,Houston,Men's Apparel,40,550,220000,66000,0.3,Outlet,66000
Sports Direct,1197831,24-07-2020,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,122500
Sports Direct,1197831,25-07-2020,South,Texas,Houston,Men's Street Footwear,25,850,212500,74375,0.4,Outlet,85000
Sports Direct,1197831,26-07-2020,South,Texas,Houston,Men's Athletic Footwear,35,850,297500,104125,0.4,Outlet,119000
Sports Direct,1197831,27-07-2020,South,Texas,Houston,Women's Street Footwear,35,675,236250,82688,0.4,Outlet,94500
Sports Direct,1197831,28-07-2020,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98438,0.5,Outlet,109375
Sports Direct,1197831,29-07-2020,South,Texas,Houston,Men's Apparel,40,500,200000,60000,0.3,Outlet,60000
Sports Direct,1197831,30-07-2020,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,122500
Sports Direct,1197831,31-07-2020,South,Texas,Houston,Men's Street Footwear,30,875,262500,91875,0.4,Outlet,105000
Sports Direct,1197831,01-08-2020,South,Texas,Houston,Men's Athletic Footwear,40,875,350000,122500,0.4,Outlet,140000
Sports Direct,1197831,02-08-2020,South,Texas,Houston,Women's Street Footwear,35,700,245000,85750,0.4,Outlet,98000
Sports Direct,1197831,03-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000,0.5,Outlet,120000
Sports Direct,1197831,04-08-2020,South,Texas,Houston,Men's Apparel,45,500,225000,67500,0.3,Outlet,67500
Sports Direct,1197831,05-08-2020,South,Texas,Houston,Women's Apparel,40,650,260000,130000,0.5,Outlet,130000
Sports Direct,1197831,06-08-2020,South,Texas,Houston,Men's Street Footwear,30,900,270000,94500,0.4,Outlet,108000
Sports Direct,1197831,07-08-2020,South,Texas,Houston,Men's Athletic Footwear,40,900,360000,126000,0.4,Outlet,144000
Sports Direct,1197831,08-08-2020,South,Texas,Houston,Women's Street Footwear,35,725,253750,88813,0.4,Outlet,101500
Sports Direct,1197831,09-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,625,250000,112500,0.5,Outlet,125000
Walmart,1197831,10-08-2020,South,Texas,Houston,Men's Apparel,45,525,236250,70875,0.3,Outlet,70875
Walmart,1197831,11-08-2020,South,Texas,Houston,Women's Apparel,40,800,320000,160000,0.5,Outlet,160000
Walmart,1197831,12-08-2020,South,Texas,Houston,Men's Street Footwear,30,925,277500,97125,0.4,Outlet,111000
Walmart,1197831,13-08-2020,South,Texas,Houston,Men's Athletic Footwear,40,925,370000,129500,0.4,Outlet,148000
Walmart,1197831,14-08-2020,South,Texas,Houston,Women's Street Footwear,35,775,271250,94938,0.4,Outlet,108500
Walmart,1197831,15-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.5,Outlet,140000
Walmart,1197831,16-08-2020,South,Texas,Houston,Men's Apparel,45,600,270000,81000,0.3,Outlet,81000
Walmart,1197831,17-08-2020,South,Texas,Houston,Women's Apparel,40,950,380000,190000,0.5,Outlet,190000
Walmart,1197831,18-08-2020,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.4,Outlet,152000
Walmart,1197831,19-08-2020,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.4,Outlet,171000
Walmart,1197831,20-08-2020,South,Texas,Houston,Women's Street Footwear,40,800,320000,112000,0.4,Outlet,128000
Walmart,1197831,21-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,750,300000,135000,0.5,Outlet,150000
Walmart,1197831,22-08-2020,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,87750
Walmart,1197831,23-08-2020,South,Texas,Houston,Women's Apparel,50,1000,500000,250000,0.5,Outlet,250000
Walmart,1197831,24-08-2020,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.4,Outlet,152000
Walmart,1197831,25-08-2020,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.4,Outlet,171000
Walmart,1197831,26-08-2020,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.4,Outlet,176000
Walmart,1197831,27-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.5,Outlet,140000
Walmart,1197831,28-08-2020,South,Texas,Houston,Men's Apparel,45,700,315000,94500,0.3,Outlet,94500
Walmart,1197831,29-08-2020,South,Texas,Houston,Women's Apparel,50,975,487500,243750,0.5,Outlet,243750
Walmart,1197831,30-08-2020,South,Texas,Houston,Men's Street Footwear,40,925,370000,129500,0.4,Outlet,148000
Walmart,1197831,31-08-2020,South,Texas,Houston,Men's Athletic Footwear,45,925,416250,145688,0.4,Outlet,166500
Walmart,1197831,01-09-2020,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.4,Outlet,176000
Walmart,1197831,02-09-2020,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000,0.5,Outlet,130000
Walmart,1197831,03-09-2020,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,87750
Walmart,1197831,04-09-2020,South,Texas,Houston,Women's Apparel,50,900,450000,225000,0.5,Outlet,225000
Walmart,1197831,05-09-2020,South,Texas,Houston,Men's Street Footwear,45,850,382500,133875,0.4,Outlet,153000
Walmart,1197831,06-09-2020,South,Texas,Houston,Men's Athletic Footwear,45,850,382500,133875,0.4,Outlet,153000
Walmart,1197831,07-09-2020,South,Texas,Houston,Women's Street Footwear,50,900,450000,157500,0.4,Outlet,180000
Walmart,1197831,08-09-2020,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625,0.5,Outlet,156250
Walmart,1197831,09-09-2020,South,Texas,Houston,Men's Apparel,45,625,281250,84375,0.3,Outlet,84375
Walmart,1197831,10-09-2020,South,Texas,Houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,233750
Walmart,1197831,11-09-2020,South,Texas,Houston,Men's Street Footwear,45,800,360000,126000,0.4,Outlet,144000
Walmart,1197831,12-09-2020,South,Texas,Houston,Men's Athletic Footwear,45,800,360000,126000,0.4,Outlet,144000
Walmart,1197831,13-09-2020,South,Texas,Houston,Women's Street Footwear,50,750,375000,131250,0.4,Outlet,150000
Walmart,1197831,14-09-2020,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000,0.5,Outlet,150000
Walmart,1197831,15-09-2020,South,Texas,Houston,Men's Apparel,45,575,258750,77625,0.3,Outlet,77625
Walmart,1197831,16-09-2020,South,Texas,Houston,Women's Apparel,55,750,412500,206250,0.5,Outlet,206250
Walmart,1197831,20-10-2020,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,0.4,Outlet,162000
Walmart,1197831,21-10-2020,South,Texas,Houston,Men's Athletic Footwear,45,900,405000,141750,0.4,Outlet,162000
Walmart,1197831,22-10-2020,South,Texas,Houston,Women's Street Footwear,50,825,412500,144375,0.4,Outlet,165000
Walmart,1197831,23-10-2020,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875,0.5,Outlet,168750
Walmart,1197831,24-10-2020,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,87750
Walmart,1197831,25-10-2020,South,Texas,Houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,233750
Walmart,1197831,26-10-2020,South,Texas,Houston,Men's Street Footwear,45,950,427500,149625,0.4,Outlet,171000
Walmart,1197831,27-10-2020,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.4,Outlet,171000
Walmart,1197831,28-10-2020,South,Texas,Houston,Women's Street Footwear,50,850,425000,148750,0.4,Outlet,170000
Walmart,1197831,29-10-2020,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500,0.5,Outlet,175000
Walmart,1197831,30-10-2020,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,87750
Walmart,1197831,31-10-2020,South,Texas,Houston,Women's Apparel,55,900,495000,247500,0.5,Outlet,247500
West Gear,1128299,01-11-2020,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500,0.4,Outlet,124000
West Gear,1128299,02-11-2020,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet,77500
West Gear,1128299,03-11-2020,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,0.4,Outlet,155000
West Gear,1128299,04-11-2020,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750,0.3,Outlet,93750
West Gear,1128299,05-11-2020,West,California,San Francisco,Men's Apparel,55,575,316250,158125,0.5,Outlet,158125
West Gear,1128299,06-11-2020,West,California,San Francisco,Women's Apparel,50,775,387500,58125,0.2,Outlet,77500
West Gear,1128299,07-11-2020,West,California,San Francisco,Men's Street Footwear,40,825,330000,115500,0.4,Outlet,132000
West Gear,1128299,08-11-2020,West,California,San Francisco,Men's Athletic Footwear,50,725,362500,72500,0.2,Outlet,72500
West Gear,1128299,09-11-2020,West,California,San Francisco,Women's Street Footwear,50,725,362500,126875,0.4,Outlet,145000
West Gear,1128299,10-11-2020,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250,0.3,Outlet,86250
West Gear,1128299,11-11-2020,West,California,San Francisco,Men's Apparel,55,500,275000,137500,0.5,Outlet,137500
West Gear,1128299,12-11-2020,West,California,San Francisco,Women's Apparel,50,700,350000,52500,0.2,Outlet,70000
West Gear,1128299,13-11-2020,West,California,San Francisco,Men's Street Footwear,50,850,425000,148750,0.4,Outlet,170000
West Gear,1128299,14-11-2020,West,California,San Francisco,Men's Athletic Footwear,60,700,420000,84000,0.2,Outlet,84000
West Gear,1128299,15-11-2020,West,California,San Francisco,Women's Street Footwear,60,700,420000,147000,0.4,Outlet,168000
West Gear,1128299,22-12-2020,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000,0.3,Outlet,108000
West Gear,1128299,23-12-2020,West,California,San Francisco,Men's Apparel,65,500,325000,162500,0.5,Outlet,162500
West Gear,1128299,24-12-2020,West,California,San Francisco,Women's Apparel,60,700,420000,63000,0.2,Outlet,84000
West Gear,1128299,25-12-2020,West,California,San Francisco,Men's Street Footwear,60,875,525000,183750,0.4,Outlet,210000
West Gear,1128299,26-12-2020,West,California,San Francisco,Men's Athletic Footwear,65,675,438750,87750,0.2,Outlet,87750
West Gear,1128299,27-12-2020,West,California,San Francisco,Women's Street Footwear,65,725,471250,164938,0.4,Outlet,188500
West Gear,1128299,28-12-2020,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500,0.3,Outlet,112500
West Gear,1128299,29-12-2020,West,California,San Francisco,Men's Apparel,65,525,341250,170625,0.5,Outlet,170625
West Gear,1128299,30-12-2020,West,California,San Francisco,Women's Apparel,80,700,560000,84000,0.2,Outlet,112000
West Gear,1128299,31-12-2020,West,California,San Francisco,Men's Street Footwear,60,900,540000,216000,0.4,Outlet,216000
West Gear,1128299,01-01-2021,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,0.3,Outlet,146250
West Gear,1128299,02-01-2021,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,0.4,Outlet,195000
West Gear,1128299,03-01-2021,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,0.4,Outlet,156000
West Gear,1128299,04-01-2021,West,California,San Francisco,Men's Apparel,65,550,357500,196625,0.6,Outlet,214500
West Gear,1128299,05-01-2021,West,California,San Francisco,Women's Apparel,80,725,580000,116000,0.2,Outlet,116000
West Gear,1128299,06-01-2021,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,0.4,Outlet,234000
West Gear,1128299,07-01-2021,West,California,San Francisco,Men's Athletic Footwear,65,825,536250,134063,0.3,Outlet,160875
West Gear,1128299,08-01-2021,West,California,San Francisco,Women's Street Footwear,65,825,536250,214500,0.4,Outlet,214500
West Gear,1128299,09-01-2021,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000,0.4,Outlet,168000
West Gear,1128299,10-01-2021,West,California,San Francisco,Men's Apparel,65,575,373750,205563,0.6,Outlet,224250
West Gear,1128299,11-01-2021,West,California,San Francisco,Women's Apparel,80,875,700000,140000,0.2,Outlet,140000
West Gear,1128299,12-01-2021,West,California,San Francisco,Men's Street Footwear,60,1025,615000,215250,0.4,Outlet,246000
West Gear,1128299,13-01-2021,West,California,San Francisco,Men's Athletic Footwear,65,875,568750,113750,0.2,Outlet,113750
West Gear,1128299,14-01-2021,West,California,San Francisco,Women's Street Footwear,65,825,536250,187688,0.4,Outlet,214500
West Gear,1128299,15-01-2021,West,California,San Francisco,Women's Athletic Footwear,60,725,435000,130500,0.3,Outlet,130500
West Gear,1128299,16-01-2021,West,California,San Francisco,Men's Apparel,65,775,503750,251875,0.5,Outlet,251875
West Gear,1128299,17-01-2021,West,California,San Francisco,Women's Apparel,80,775,620000,93000,0.2,Outlet,124000
West Gear,1128299,18-01-2021,West,California,San Francisco,Men's Street Footwear,65,975,633750,221813,0.4,Outlet,253500
West Gear,1128299,19-01-2021,West,California,San Francisco,Men's Athletic Footwear,70,925,647500,129500,0.2,Outlet,129500
West Gear,1128299,20-01-2021,West,California,San Francisco,Women's Street Footwear,65,800,520000,182000,0.4,Outlet,208000
West Gear,1128299,21-01-2021,West,California,San Francisco,Women's Athletic Footwear,65,750,487500,146250,0.3,Outlet,146250
West Gear,1128299,22-01-2021,West,California,San Francisco,Men's Apparel,75,750,562500,281250,0.5,Outlet,281250
West Gear,1128299,23-01-2021,West,California,San Francisco,Women's Apparel,80,725,580000,87000,0.2,Outlet,116000
West Gear,1128299,24-01-2021,West,California,San Francisco,Men's Street Footwear,55,925,508750,152625,0.3,Outlet,152625
West Gear,1128299,25-01-2021,West,California,San Francisco,Men's Athletic Footwear,60,925,555000,83250,0.2,Outlet,111000
West Gear,1128299,26-01-2021,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,0.3,Outlet,127875
West Gear,1128299,27-01-2021,West,California,San Francisco,Women's Athletic Footwear,55,725,398750,99688,0.3,Outlet,119625
West Gear,1128299,28-01-2021,West,California,San Francisco,Men's Apparel,65,725,471250,212063,0.5,Outlet,235625
West Gear,1128299,29-01-2021,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,54250
West Gear,1128299,30-01-2021,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,0.3,Outlet,144375
West Gear,1128299,31-01-2021,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,0.2,Outlet,105000
West Gear,1128299,01-02-2021,West,California,San Francisco,Women's Street Footwear,55,700,385000,115500,0.3,Outlet,115500
West Gear,1128299,02-02-2021,West,California,San Francisco,Women's Athletic Footwear,55,675,371250,92813,0.3,Outlet,111375
West Gear,1128299,03-02-2021,West,California,San Francisco,Men's Apparel,65,650,422500,190125,0.5,Outlet,211250
West Gear,1128299,04-02-2021,West,California,San Francisco,Women's Apparel,70,700,490000,49000,0.1,Outlet,49000
West Gear,1128299,05-02-2021,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,0.3,Outlet,144375
West Gear,1128299,06-02-2021,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,0.2,Outlet,105000
West Gear,1128299,07-02-2021,West,California,San Francisco,Women's Street Footwear,55,725,398750,119625,0.3,Outlet,119625
West Gear,1128299,08-02-2021,West,California,San Francisco,Women's Athletic Footwear,55,700,385000,96250,0.3,Outlet,115500
West Gear,1128299,09-02-2021,West,California,San Francisco,Men's Apparel,65,650,422500,190125,0.5,Outlet,211250
West Gear,1128299,10-02-2021,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,54250
West Gear,1128299,11-02-2021,West,California,San Francisco,Men's Street Footwear,55,975,536250,160875,0.3,Outlet,160875
West Gear,1128299,12-02-2021,West,California,San Francisco,Men's Athletic Footwear,60,975,585000,87750,0.2,Outlet,117000
West Gear,1128299,13-02-2021,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,0.3,Outlet,127875
West Gear,1128299,14-02-2021,West,California,San Francisco,Women's Athletic Footwear,55,775,426250,106563,0.3,Outlet,127875
West Gear,1128299,15-02-2021,West,California,San Francisco,Men's Apparel,65,700,455000,204750,0.5,Outlet,227500
West Gear,1128299,16-02-2021,West,California,San Francisco,Women's Apparel,70,800,560000,56000,0.1,Outlet,56000
Kohl's,1189833,17-02-2021,West,California,San Francisco,Men's Street Footwear,35,700,245000,98000,0.4,Outlet,98000
Kohl's,1189833,18-02-2021,West,California,San Francisco,Men's Athletic Footwear,45,700,315000,78750,0.3,Outlet,94500
Kohl's,1189833,09-03-2021,West,California,San Francisco,Women's Street Footwear,45,700,315000,126000,0.4,Outlet,126000
Kohl's,1189833,10-03-2021,West,California,San Francisco,Women's Athletic Footwear,45,550,247500,86625,0.4,Outlet,99000
Kohl's,1189833,11-03-2021,West,California,Los Angeles,Men's Apparel,50,500,250000,137500,0.6,Outlet,150000
Kohl's,1189833,12-03-2021,West,California,Los Angeles,Women's Apparel,45,700,315000,63000,0.2,Outlet,63000
Kohl's,1189833,13-03-2021,West,California,Los Angeles,Men's Street Footwear,35,750,262500,105000,0.4,Outlet,105000
Kohl's,1189833,14-03-2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,292500,73125,0.3,Outlet,87750
Kohl's,1189833,15-03-2021,West,California,Los Angeles,Women's Street Footwear,45,675,303750,121500,0.4,Outlet,121500
Kohl's,1189833,16-03-2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,236250,82688,0.4,Outlet,94500
Kohl's,1189833,17-03-2021,West,California,Los Angeles,Men's Apparel,50,450,225000,123750,0.6,Outlet,135000
Kohl's,1189833,18-03-2021,West,California,Los Angeles,Women's Apparel,45,650,292500,58500,0.2,Outlet,58500
Kohl's,1189833,19-03-2021,West,California,Los Angeles,Men's Street Footwear,35,800,280000,112000,0.4,Outlet,112000
Kohl's,1189833,20-03-2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,292500,73125,0.3,Outlet,87750
Kohl's,1189833,21-03-2021,West,California,Los Angeles,Women's Street Footwear,45,650,292500,117000,0.4,Outlet,117000
Kohl's,1189833,22-03-2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,247500,86625,0.4,Outlet,99000
Kohl's,1189833,23-03-2021,West,California,Los Angeles,Men's Apparel,50,425,212500,116875,0.6,Outlet,127500
Kohl's,1189833,06-04-2021,West,California,Los Angeles,Women's Apparel,45,625,281250,56250,0.2,Outlet,56250
Kohl's,1189833,07-04-2021,West,California,Los Angeles,Men's Street Footwear,45,800,360000,144000,0.4,Outlet,144000
Kohl's,1189833,08-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50,600,300000,75000,0.3,Outlet,90000
Kohl's,1189833,09-04-2021,West,California,Los Angeles,Women's Street Footwear,50,625,312500,125000,0.4,Outlet,125000
Kohl's,1189833,10-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,236250,82688,0.4,Outlet,94500
