order_id,payment_value,payment_value_category
6ad57aecbae806a7e9cc2cdb6b380711,161.47,High
6b57b46391a662adacf6841b5da8d084,313.99,High
dd3d73f70b77e2a07f64360620621ca4,262.94,High
e303201d86cda5183986a56d5ae1b084,24.86,Low
b7a098563d93a0a1f918772c24ca3831,172.29,High
b8bf848cf366061f0e9555337da2a9d6,55,Medium
844f01e04cbbf8ba9a2ada9f036eb8d2,42.69,Low
9bafbb16dccffbb09e9d88acb1a932f4,209.94,High
87b8f9f472fb04cdbf53fb55a3591b5f,72.66,Medium
dec0f6569996808803b3a8130c35a997,65.87,Medium
d905ea9eb4e5000a35cbee306bce1935,649.86,High
b170f1243a620b65504157b83f69a2e0,80.15,Medium
3d965a3a3a9aae822a8f40ddf0184df1,85.81,Medium
65bbd0719855fe808bb19f62dfa9f42c,354.64,High
4c7ee4e8074ee13226ddac13d14b0989,89.56,Medium
d32ec519c65a1661bb50020bda09194f,152.44,High
3fa59277573f0fe06ece044ebec2eb02,91.05,Medium
e1a9f566dc38eac4f78556976596a43f,47.82,Low
899f386e0652a9e159d00cbe97836be3,37.94,Low
98f0e2b0d85754ca3b4e06d70f0f63a2,70,Medium
32219b8b14d2170cb4d16cf24c5d6025,85.15,Medium
62076e9aa47cedb799ddc84812264c9e,87.44,Medium
5eca2113141f2c0e048b11bdcb7a0371,41.17,Low
7cd9ffeaee65a09e32ccf456b90784df,79.26,Medium
323b3a9ecc47294402658286cce4f37f,32.23,Low
5accb23a030458bbfb5eb669903f05b7,35.4,Low
4c217e3cc24f803307dea7d619377def,86.37,Medium
7cb67275a494651008ed5b1f0353ddce,88.54,Medium
d7902cb5d7fd1f143aff7375644c6d7a,65.05,Medium
98fe01bc254b759c1f2c11d77c2891d5,150,Medium
b067f7c5967819ff5e1cff8bd3814a6d,154.28,High
3fb155b4897652f5cdf1b5efff32a465,596.27,High
6e60346a3ee3876c1e4bc89c597ffcb8,123.59,Medium
693868f7e2e4ec2b5d0f1f35daee6917,65,Medium
1594012ccc1b0770373ce691d697e5ae,362.17,High
ea9184ad433a404df1d72fa0a8764232,22.49,Low
620b5f7f730ead80c8dba1202716a29f,9.39,Low
85be7c94bcd3f908fc877157ee21f755,72.75,Medium
9c54a1816e487456bb7eb5082b9823ff,2.01,Low
689e8820798347950a2649f71c734bd0,189.98,High
2a6fcdee30bb4fda09190b53b4e9ffee,77.89,Medium
55ab3650a53071b34253bdcada9e584b,40.76,Low
5c83723b6467f6729e47c640005cd148,51.33,Medium
b958654614e94b4600cb336391326045,45.09,Low
a0ce637ae9c3e3dedcf9dea3715b7331,143.04,Medium
55779fa8fe072d9f8c92d672154558f2,233.66,High
4801b9cf238c2c9098bd66a5f092c2da,152.28,High
40ff15fd1f4a802dd323bd89a6967b5c,45.39,Low
316495342fc714e50303c6cf4feea79f,48.68,Low
cf3da3c7f3915ee38eb71471c6aac434,91.23,Medium
35298b52820bdcc64b7bf71ccc28a36c,82.67,Medium
e194f9ac9793de14b87eecf9b3532421,347.56,High
90b0ca32bb968251ac0b7eeb5393b7fe,146.68,Medium
2011a926846f9fa10088488fca493f95,36.69,Low
257699bfe87de4eac234324e88db828a,102.26,Medium
257d1faedcbe9d328080c6ec04c8f819,75.53,Medium
81c0952b750d74fa259592bdb837e42d,87.14,Medium
7c5cfb19cd59e93d54d251302ac8268c,54.01,Medium
4c3e9e2bce3a3234a9255f390683e3af,313.2,High
468c2f34312a6d270a20c7aef082041c,51,Medium
9b573950822247289cc283b3e30f19d8,37.09,Low
be929febed86ae91848b45a84c499e44,32.38,Low
4a4ed9ed7922304a569ed850baba99c6,33.13,Low
d543b0fedeb939f3fda2a3c2fe167b02,71.18,Medium
0cedb7b34000334cf6a9e407fcaa5203,241.65,High
5965bbd72c3ca0d9634419437ca53897,147.99,Medium
58ecdd5dee96d19e30c67a29cae63e4d,105.28,Medium
2e024656807ffab9d81af39abd9f18b8,113.6,Medium
f9d5bfb53147f381e81b89a848e26b16,195.71,High
5308fdab519f7478ef64894128fbbee4,36.07,Low
67730eb2f9468b8c6eb20a45dd477bbd,5.99,Low
a082f140d70dd20b4e2d7538557b5946,127.9,Medium
487c1451b8fd7347d0e80e5aca887e91,30,Low
ffaed28dc2c916f896616e904036ffd0,116.36,Medium
25db8af390f9984ee0af317b5239af35,114.68,Medium
3a1a92434eae60a4f44ad7ebef65c3e7,254.58,High
4e78c8e6f00a4ca7409db04227837738,95.64,Medium
6ed3f553337457d7804e8c39b580ce89,113.62,Medium
230429e6f253f9cd6561aad72ce7ee2f,131.71,Medium
973f596fdd2295f00754dd37ab7eb684,98.79,Medium
9b434ff82e1cc10e25641256b7ec7b15,91.18,Medium
6503586e6d752bdb3ebbd1607e6a714f,38.09,Low
b69b9260e79a0da00e15f48de1bd2524,283.34,High
246b14cc444e8a7df0afd80495dfa052,17.97,Low
1a9b986cfe31ed59c5a6c00287db7e74,31.75,Low
30a461491fa262d5d6321e3194bbb452,63.83,Medium
c8e19a0edcf6fd34024a2f7fe5f85ef8,341.4,High
83f24bbc4f76a2730ba9c9cfa32e6d07,231.45,High
b43a98a6615a9a0319f5ec81a6e5d666,67.5,Medium
ecc72b676b14179b5bd30e446043c1d2,46.85,Low
28cbc68ed62d4454655aa41bb0941aaa,163.25,High
5fe9874b96028c851e35c1c28aede4c2,167.77,High
0ab93232e2390bb66ff047c39fd91077,76.85,Medium
f65f13aa0f61098cebf314daa13a51da,128.07,Medium
28262d9fd1a7ceff1089bc357b873b91,72.77,Medium
ef0beb334211d552bb4bbb9b43e60248,158.98,High
dcaa8a5fd8f675e791daccbbbc9caf11,4.15,Low
1422a4b4a2aa8b66fd49ff5557200b42,924.12,High
b0f445cca9b6a54ff47e8834c16ba6c1,30,Low
1314353395f7148ba64400eab34bb50c,156.73,High
19b37f1efa2ddaf265496e78e245c19a,49.45,Low
db60e917f3e707779a0efd2b52354951,224.14,High
d8f309041b7d515605c0d4fd15b12db6,25.89,Low
4b2f4bcfaf2147dc60b9f86452ac885b,44.09,Low
0b9b1c5bbb14862e0e96660280048b04,16.38,Low
96de2b7f7f3c401fbee3eef068376da6,32.15,Low
3585d13e3147a56c82596757cff8c66c,56.39,Medium
cf753c9874f18f99ba2ae6ae04632905,28.2,Low
d56851f342ee399d61852bdcd356a663,187.87,High
8623ddd82259f932337ad9f727cd25b5,61.42,Medium
c7c8b7eca811b5f2d08999ad1c3e4f9d,147.78,Medium
f390346ecbf61a6b81b92017a7410df1,69.73,Medium
f7254acdb2c708372182c21f4ef3af88,102.74,Medium
056793ca2483a5d5943cb5bd90f5b314,39.46,Low
41d5636cfaa3b8436beab84388cf73d0,171.69,High
3f5ee98124031535645a99b8c198833f,148.9,Medium
c95839b7dde4af387d35f35a382c512e,37.72,Low
e87da23aab323df28deb2e98d41a3fb0,321.08,High
da5839ce50528e73a7b48bd91613d715,178,High
64bf74354f2ce35678e99356584d3a2f,31.01,Low
708c129b280e719faa3988c41374d4fd,136.46,Medium
4d7e10ed70b8c2358e94850352bb490b,77.57,Medium
ef2b5fec0f07bc46dcc243b4df361988,312.59,High
c152d21bf4fc58f89b8644af56cdc116,162.55,High
93d16f5ff7e2ae4320139a6faf1a2716,35.77,Low
2372e039a79fcd32009462cf86c2616f,151.7,High
72b02234375680d174bc9fecfb0fd9fe,29.87,Low
6b026a0a382ef161c512318a3b1edbe1,67.78,Medium
061b74bca735bb2c1953e40bc098101d,98.88,Medium
e04abd8149ef81b95221e88f6ed9ab6a,349.01,High
84cee5c1b66cfc2dcb7c7834e7169246,202.12,High
db97652cf517d2cd03db63dec489ca62,10.26,Low
9a259797098595401e84f676d0c57320,88.9,Medium
5c69ba235cf7367ca4d4c38d8492ffc3,24.68,Low
d4da0eae97584a51df1e150a105e4f20,249.39,High
86a0962f08397e9524a60256d2bce32d,40.13,Low
ee7b9fca242afe884ce1daf3f17ae656,312.25,High
09249f4625a56408772a45322aadd544,138.84,Medium
caad8650d057e45848943e18ad94ad73,131.62,Medium
54e21f5480d90336080ff89ec1ba503e,67.14,Medium
cf223cd5f53b6a5986f1ef788d3e9e83,141.11,Medium
e1edd95bfd88243a6d6b774d8aefe535,181.59,High
94b35c859940ae8a53643992ee1ae7a0,86.15,Medium
6982e573fae66449ecdcb3381c5c75f9,329.47,High
29b179123b9eda65690278842d2c364b,68.52,Medium
a54f35a6dfb350a13c6410aa276e52d8,149.56,Medium
eb752d7dd31fae34db80457d17e72ad0,50.26,Medium
fd3c2f37b535d300e61e63b029edfd20,383.2,High
343348b1e29e9fa9e7b6ab1027f9177d,43.77,Low
173cd9df6006351e8e5151ea0f400bd3,257.29,High
087c44ddc65697d4a3a2af9234c5a22b,66.25,Medium
9f9337d4e1debd68a43a89ee594a732c,32.72,Low
e8f1a30189522698bfce82adf60472e7,52.77,Medium
3053d9278ac444ba8fa2ab0d7a4f6547,78.91,Medium
dcec2b3be8c3d53056fe63381b2a6cfe,159.18,High
360787554f41824600bdcba9687cd4f0,1783.44,High
e28a4c66f1484567d1e42b3fab64d923,0.72,Low
b987bb067d534c991de69cf0c67e9188,109.98,Medium
a3cbfbf2c6364b1c16f1c0ce8f6fd306,83.93,Medium
14755aa40518fc8bb089f3f11af8cbbb,70.15,Medium
10799b37b7755c4d8b315b4c0dfb187e,66.82,Medium
6120dca54b9adfd072f8fd9574161063,137.57,Medium
c4644f8b9bfad66c5105dbfa8f74b65b,65,Medium
92cac19c19596022d13902b2908896ac,75.17,Medium
c55cdae2f69a79de4fe44a6437391c64,36.77,Low
bd4ce88d696959198a72416bd32be0ca,134.49,Medium
2beef95c5b98fdfefddc581a17f27b82,73.84,Medium
5a583547086c7958be6668ef932708cd,66.25,Medium
f826855672324b0ba0f50c0d67d00ac6,91.66,Medium
36fab5ed597c9dca017dfa0711e84687,80.92,Medium
b54fa43051fefab27d1f06b71938062c,211.25,High
b5fee65bd894e490f09a8b389cce552e,160.5,High
e08878ad70acad81d0e90f59e56ce9a6,84.79,Medium
6f791d3c2f75ec3ec0e97decd281b0f3,570.94,High
df3094913bc127b3b866783f3a915565,114.33,Medium
242e24b7eaa9f48cde9d679f8591124d,236.66,High
e26feee700e28b2867a3e8d6f2b644b3,670.85,High
2f98fa03385c6020590b479aa12b8073,188.28,High
9c5bc3c2933ce8e4660ec888ffb28748,159.03,High
84e18f4b5b541150af97e94f3cc0b2a7,82.1,Medium
b93a19a84516997a69f59da9b871d109,103.93,Medium
4f9b8c1bedc66f4bd34725cfdee6833b,151.58,High
80d49171762a51f500bf6b774aa24617,2787.87,High
c1c7631c24af4189464f9bc75189fb55,76.06,Medium
75917ea91a5cbdec384278689bdbe142,106.56,Medium
7f058780efeab68414ecad1c0c43d0c0,396.35,High
5f5d440ddcc70a0ba6f17804435ec791,302.62,High
e8c2e13dbaea9f65abb449dc65d6e883,181.57,High
553901a853048dcd33ec8de19f90c5d0,73.25,Medium
669d4be1c2a2cab7e5ec040bf54c5d91,16.89,Low
2fd35ca971609b8f8f878d87262e6fbd,50.1,Medium
c5ddf6be2ae50588b29222f7b1fd84aa,67.44,Medium
1355bd6c7fa80ea43bdecab48ff8052c,85.15,Medium
abb4105be6a56ad64b74e4e74d5fe4f4,827.91,High
46e8348ff73e64f24843a7d2fad9fcfd,840.26,High
9f9163244dc37358223b3534a4013807,91.23,Medium
12e6f847bdf86df79a51931bbd0798b9,73.16,Medium
0e5f3862d95c44aabc9b2a0f703f9f75,50,Medium
f5b3d7bf340b33e9fac5e7f314525614,116.36,Medium
a56e517e3e85ada615daf2270c2a9c48,166.41,High
92295e7114a22f7180b04673e44cda17,453.74,High
989788f1c17a087572e29eb4fc130983,103.11,Medium
33dc68ee07456f6fa5da352d9cca5d93,521.56,High
1207b88243115c9eafb9931bc2d0b59d,133.05,Medium
2e1bbcd435bc99b41a07959ef2c3965e,79.62,Medium
ebb2b88a94eaea3dc431c26a7d21bacc,185.86,High
fb4de3600d359f84927517e78ff9ba54,0.01,Low
13f48b228960c77c8ebeef615e898f32,30.22,Low
ad6137b47c7f7c1c621f4de13c3d5bc9,145.9,Medium
821a1e7c9755a640a28554e2d777df92,151.96,High
c711d7f26c4563f427379e7ed3bfdc51,113.11,Medium
a8ecb8c3d0aca9e0740521256a9a9d74,95.21,Medium
02b939dcd55f2b17680e10690deb08b5,176.16,High
a9b0a7015644d713589e4836e2621897,161.5,High
f75f6ef2200a609b9a11d7650ae623f2,18.6,Low
c24b8b41e6857d59a27f2b150bb669d9,93.41,Medium
85eef2d342b0de363c45c1bc324729c5,99.43,Medium
56977f88a655bfbcd1e8f20a20959f5b,101.36,Medium
d574338f566ca28dd67820f48ec1f1d8,278.22,High
d5f7fa751e79c6327ae63759c262813a,147.07,Medium
21b966a378471db65c18fa4ca20d6800,132.82,Medium
0d2d1445891e7aba669fa2069d695601,51.75,Medium
afa91e78effcc9fbc392951b0184f11a,58.09,Medium
61059985a6fc0ad64e95d9944caacdad,132.04,Medium
94a01dd9a6fd7d30b879bd61b85a1c00,94.3,Medium
90b22de691552b213f33c2a25c74c413,97.78,Medium
9b871ac52352fe5c58010cad01550b6c,340.47,High
3a17199c5f4688279c69a931b1950c86,32.22,Low
d0ec19bf3a898ff42bbe48cdc06bb7fe,63.29,Medium
d374b00ca864bcf61a03638e73cb744e,178.89,High
bddbca2d48a961d74fe81de8febf9a73,180.49,High
4a686b47e7eecbd136617bf8ae7c9af4,16.63,Low
4a686b47e7eecbd136617bf8ae7c9af4,20,Low
7c95572fd6e7e0ab8b88b00fd8c70716,53.39,Medium
29acb175de2a4da2b456200329d0f5ca,171,High
0f3f49e2316b72f49e23fea6ffaa2371,24.28,Low
ccf15697e8a9c460dd3bab4f04270c9b,241.61,High
7246a71d326111872bfdfd34f495dc4f,117.53,Medium
da7b8d3f7de2b64a8d4f6d59b36159a7,88.72,Medium
f36c1228bd06f0ffe6595b5b4bcc4bdd,28.96,Low
f964ec281f9f4098870fff22b6b74fec,47.51,Low
7d5c1320ac55581cd5de4d8f83c99731,166.59,High
d0af04d05d7d5f1b5e65ae9b6278f57f,360.26,High
e09d6bfb53d7cc90231d15261f2c6a34,352.55,High
1a9543c90f188e2e4fb14327ad4a9c9b,662.34,High
e715706f59e1a868d0a2e36af571a899,191.09,High
2d0da8435c6493de84783c21578638aa,76.08,Medium
e95a9cf427d600b905017685d47e21cb,81.47,Medium
2ad6c6594bf0917a25ff8b8918d4b7b0,40,Low
61792c6272346d7f4b7c5b1747df7b1a,49.34,Low
67d76fc5a4545e99be9b1e6f9e90cfc5,221.47,High
aa04ee4542e835a3e6f4da876dc654c6,19.33,Low
fecadea4b60522702bd322933da20c9e,34.69,Low
11c8a3b7adc8c5c3f5ae4f0257c5e953,53.33,Medium
3818ab6e31e399088ce955019f85f7d9,639.52,High
e57d9d7eca079892fe0aee2b0cf96311,115.42,Medium
3828ca6e6450e317619b87f49eca6492,20.89,Low
73612117a85e3e65d7ac69f7e5df1540,97.23,Medium
42ed2aeb956c92e3c3bb6933ecea1d89,159.39,High
4ef2dc299b0885933a8773c1aa3656ae,88.72,Medium
dcb0beba69129b3cb15757a33bc9dce9,77.42,Medium
bcf8ce1cea8935dbbf537c9caf248f46,47.59,Low
967c49716bb3079dd0f2e8cc27301f92,323.15,High
5687ad45d33870c742b2cdacaf758353,69.14,Medium
aa964845f1de8125410aea8b73e9e1ec,27.35,Low
c1b478f170d1ec5c4ff6ea07039fb276,355.1,High
be8ab651d9a385206918a02d21d0cc33,130.6,Medium
2c0e90a2bdcffa59af23fe752aa40541,218.27,High
fb5ea894786347722a854ef8fbad3e78,71.44,Medium
bedff73fa5a137527ba9314cac93b7b3,35,Low
d1b60751a74a563a60ea5a1ab1ac6969,84.14,Medium
6e2c325b5837ea4f4f30dfbf27afbb4d,167.45,High
6c936253ed9ab81f5293da5081ba8a9a,39.6,Low
b0afae22d864d70e1af1d87a017c71d0,174.52,High
93c781a8790c89bac596f6ff7d924c73,93.28,Medium
1ffb3c1929b16d9c1aec1958e11b3e9b,166.04,High
a3c0d5a734ba53e42a0ec23ff32b2e99,178.9,High
cf9d814ad8673ebdaec52528c1f7a7ca,101.25,Medium
6f8f0e3ba6fb99d979b8db8728b6a385,276.08,High
8d9c47d02bd99ae8d7dd151ededa9281,415.97,High
f754fc05a50c00a7a04eb9da5e97c646,135.35,Medium
071d86b8fc66cad2d0bb93775be89392,103.15,Medium
612f068f7f21e8eb30c2747b98f5cd5d,220.79,High
a3a97bc6e236d5351537c8f466c34dad,6.09,Low
a3a97bc6e236d5351537c8f466c34dad,6.67,Low
420fb4457bf13ecb615ef8bd9dacdc03,229.65,High
d60a89ab9bc1e68834465ae630c3343e,115.59,Medium
a60a240af8f52dfc1ca0fc4c20e0d0c4,54.07,Medium
6cc24bf6c628c261d2f9f0f7eef52a93,159.8,High
84b8aa364340ac5264c756bf7cb88c7e,113.88,Medium
c51937c0ea3f397cbf08be8fbdce3730,148.18,Medium
02a98752595ee9d94c570ad3e18055b4,80.4,Medium
298fcdf1f73eb413e4d26d01b25bc1cd,96.12,Medium
13430fd38aeb09240481e4aade4a19fc,44,Low
2f27666cd55189220c3d790d263cf425,17.87,Low
6fe56ea74b5cf6242766596550cd2d0c,137.28,Medium
3394ec2a7a1a88bffa56fb92311d8134,53.61,Medium
e6e5431f5c825cde6802af0f30bd8eaf,373.44,High
5ae27cc40da0652f19685c5b8352c979,510.3,High
84a7061cdc4f24ab1aa024c9bd595b6f,67.22,Medium
f1dd11aa9f95d84fd072504f9e6e2f11,70.93,Medium
41c7307fb0238baabade48573331cb55,59.82,Medium
8ec26dd02af502c1a8210efc0bb02c0a,75.4,Medium
c72ab77b36e73ef2e5f95a0c2f9fa739,48.21,Low
6c47b95ad53fe1aae994040c6de9ed16,476.99,High
a7144d3b7979d21c288cab0a459f7bf0,417.81,High
621e3ac1e934f773b4db54dbaa49edab,95.84,Medium
f3da0d205fb8a689ba773b74194ad85c,86.02,Medium
5ad7d897998f9bab0176a1c82b7437ea,91.28,Medium
47f038767a6187d148818c7b79dfcf2c,48.24,Low
cc2462dfe3164edb93bf14003c301c3a,185.94,High
946f9c80195609dbdd3258b549d8fe16,195.43,High
0bd8de09c6bb3ea2457b00aef3b682d1,77.89,Medium
1d671f4aa75c57086215073b775c7f41,57.8,Medium
82a9e8fe2ac3a3bba14bf07d4c56813a,328.6,High
44e5526a372b341ea535cb50b86eb7f1,154.83,High
fa8161b19b784110a75dfd84c5c63b1a,311.17,High
20109f40b1a81ce4ec90a30f1e625046,78.01,Medium
d912af00829984e706d3907a63594e9f,69.73,Medium
4af95e06a7850779479ce55a62000dac,73.8,Medium
ae92c15a8c95d6f23e9fa43b0f3c0c43,96.8,Medium
c8c07db73aea73f15237a4eb11867551,298.22,High
a88a37e74e1ba099e646450f9f0d1762,175.03,High
88d8024d811be666f66e7199e27a830b,48.81,Low
09e6dfb3a40d9c2e75458a76ff06e2d5,45.86,Low
7fa917593c3ed7bd80f35dcb6e1aefbb,44.38,Low
dde57deff5c66be4e59c0da19696ea50,128.89,Medium
a5b431090739891ac76875d9ad9bff23,232.05,High
7004296aa0256632eaddc171edaf727f,19.62,Low
79da3f5fe31ad1e454f06f95dc032ad5,98.94,Medium
5e7715473075848a1953230996ea3b3d,40.09,Low
e7fbf44c317d9ac6b87b0330fed92f1b,40.53,Low
fd1ddfeca967b94315642dfe5c7545f7,225.71,High
b058d10cd1c5819182e6071160eb23a0,223.19,High
9c0bd8cd0fc8231ed50c066058917360,132.68,Medium
c4e3b2e6f29f2e5ba28bd079aee75750,10.47,Low
ea71f65fd226b76978bc09166ce655cf,55.1,Medium
d4360753aff7fa8fe8a6e83c65179c00,72.66,Medium
947e9c6bfd83a06953c420ef92d3da6e,69.46,Medium
c74e4862507efb811471cd922e6f3529,365.32,High
58790471f208e8351044c81d0b3e51b0,164.79,High
989771e34a670ec77e1f406c05ce66b2,163.03,High
78376bf275535930db73f00a985ef199,186.56,High
13e46245791ac3c971ba82ef45a1a280,58.37,Medium
1bc50e93f3ab76ab6677faad4dd5216b,47.84,Low
7d7a6cf235917cb4b46fdce40d607758,120.4,Medium
68ebdf4ab83f4db8218e13350dca6bcd,228.24,High
32fbf6c11887296b35662f212b378974,100,Medium
808c4b75909ba91f23c1ef928f396822,143.65,Medium
1349bbe7ded8d9342526c249d9e6ceb6,39.26,Low
dc282855b102a2d5cffe41332d73c196,71.14,Medium
197be0df90e5b459a14669e32c8ce1ff,114.28,Medium
8bfcb216f3d8db5340f681b06b710f37,74.69,Medium
0f924038b00d1f102e4d09bea4fa666a,2759.95,High
c1298dde22013d58424f39ec4397f54d,107.78,Medium
8a3d4b5cd5e2602d148ea8f0d12f0512,133.57,Medium
539a1383b0bd9b963044945e607f1aca,188.06,High
d4c46523b1239f182b74fb0ea1c27f32,396.97,High
fe3c6e4834730e9f8d50983b1a47a13a,55.55,Medium
0a1a904fb2f51218c9c7ce314190de36,115.9,Medium
c7aceffb9d1f53a16af318605ae8c460,145.66,Medium
f59af974d2e7a5dcdb1aabdefd024c2b,28.17,Low
7fd4a54fa1cd70568f88704d03ce000e,629.63,High
a8bea4f26eec48abe4e6fb0e6a35f7ea,188.73,High
73596e67516934a7fe64cc6ca6d75545,62.11,Medium
cdba3ddb2a93c5bb758212a2114cab97,35.01,Low
414fe5cf5ccc8afed3c265aede6cc37d,65.99,Medium
629a524cbbd0a42a04f87ad39648d4ca,194.78,High
2b8e4a06dca9d5c4071575613d7a5037,44.34,Low
d51cbac21a49941976292ba004bf4165,114.34,Medium
3b9e43d6eba694f8a29c11ee67a04f2c,242.1,High
542dd8c7a80f7006b56c9cbb95e6433b,53.24,Medium
ba254174e8ca271319fbd168acd8684d,126.3,Medium
9dece38ba34c2b0050efef28e85d7bde,32.72,Low
97e8d3eb8f48e3610beed991e5f32296,205.44,High
3311b1573fa138150d43e80f46c7d1cb,117.46,Medium
f6ed483455295c6e7544f141244cd981,151.51,High
9c96fac210f67f329b80d898001fee09,65,Medium
70ee631a6eb795832e5318331fdf56d3,762.4,High
9b92d4432c1758cd4215f3fdb1d623a3,186.36,High
8785e55bb98c01696f3773d9ed2fb851,115.9,Medium
8d5af908ce8ffa721a9f665abb660200,64,Medium
adcdccd191342caa54f60a1f3e6df547,72.08,Medium
2ccde1e4676c20b9444e2bcbed36334c,134.56,Medium
e4fe84926e03b0030e643318464be6a7,217.15,High
4b011623f156eda7b6bf757d1a1cb78a,111.09,Medium
e54493dea108e0cb48f3571e1249d418,111.98,Medium
847bbf8a16e79d8128e4fc5f7554d919,63.87,Medium
673242a6057d4287cb24379d405cf5ac,115.3,Medium
9ea091924b1229de50a0ab7dc63a797c,36.87,Low
ce6d150fb29ada17d2082f4847107665,1586.47,High
70498ad5af42884a122355352f008c14,239.39,High
c124b224a2727ecb4e7c9a378a936d0d,86.06,Medium
6181e544115300a8f280b66fb5867454,56.49,Medium
c465c2b9e4a0112eb7f91383d2386390,63.27,Medium
5fcbedfee2eec6f8ecdcac610148b4c3,29.38,Low
6d9e993faed56b20fe3f762fd8bbf24f,64.04,Medium
332c6742772f2df936696b6512b10edb,134.55,Medium
683bf306149bb869980b68d48a1bd6ab,8.58,Low
683bf306149bb869980b68d48a1bd6ab,30,Low
8908c3c6b8591a4d779bc5a4abf4f951,44.55,Low
4477f0fa7855f6d43e17f4b8e6612898,105.28,Medium
9a3dd3cc9b84a29bcd07f44f82866ce7,39,Low
9e59025992bd64bc26551391ed44a450,67.01,Medium
632d2d4329144ecd9b722a64e8756021,50.53,Medium
047d7bce997c4e73c6efe724711fd3b8,58.62,Medium
aef85868b291058edac07999dfc93307,99.2,Medium
e6af218ec05996c969d34aa4e2dca436,670.2,High
1d84d00f6d2334d63f35ba528cd0d99d,63.74,Medium
4f54cd2c8e8986790a962e3657390e1d,64.01,Medium
8fad1f3654133d30218cd4b6fae827ee,73.34,Medium
88f79e3079458600cacd188c2550d463,142.2,Medium
